dataset,total_vars,extracted_vars,missing_vars,extraction_rate,missing_var_names
adae.sas7bdat,102,26,76,25.49,"AESTDTC, AESTDT, ASTDT, ASTDTF, ASTTM, AEENDTC, AEENDT, AENDT, AENDTF, ASTDY, AENDY, ADURN, ADURU, DOSENUM, DOSEON, DOSEU, STAGAEON, DOSEDY, AETERM, AEDECOD, AEBODSYS, AEBDSYCD, AELLT, AELLTCD, AEPTCD, AEHLT, AEHLTCD, AEHLGT, AEHLGTCD, AESOC, AESOCCD, TRTEMFL, W12FL, W24FL, W48FL, ACOL, AERELDEV, AESER, ASER, AESEV, ASEV, AEOUT, AEREL, RELGR1, AEACN, AEINF, AEINJSRC, AESHOSP, AESHOSPP, AESHOSPR, AETRLPRC, AESCONG, AESDISAB, AESLIFE, AESDTH, AESMIE, AESIBEYN, AETRTOPA, AEINJS, AEINJSO, AEEVTYP, INFRCPFL, INFRCAFL, CQ03NAM, CQ04NAM, CQ05NAM, CQ06NAM, CQ07NAM, CQ08NAM, CQ09NAM, AEIJREAP, AEIJREAU, AEIJREAG, AESEQ, ASTDTL, AENDTL"
adbdc.sas7bdat,38,23,15,60.53,"ASTDT, ASTDTC, ASTDTF, AENDT, AENDTC, PARCAT1, PARAMCD, PARAM, AVAL, AVALC, AVALCAT1, AVALCAT2, SRCDOM, SRCSEQ, SRCVAR"
adcdai.sas7bdat,37,37,0,100,
addisp.sas7bdat,41,23,18,56.1,"ASTDT, ASTDY, W12FL, W48FL, PARAMCD, PARAM, PARCAT1, AVALC, AVALCSP, CRIT1, CRIT1FL, CRIT2, CRIT2FL, ACOL, SRCDOM, SRCVAR, SRCSEQ, ASTDTC"
adex.sas7bdat,53,53,0,100,
adice.sas7bdat,38,26,12,68.42,"ASEQ, ADT, ADY, AVALC, AVALCAT1, AVALCAT2, ANL01FL, ANL02FL, ANL04FL, ANL05FL, ANL06FL, ANL07FL"
adlbef.sas7bdat,44,44,0,100,
admace.sas7bdat,94,94,0,100,
adrxfail.sas7bdat,32,24,8,75,"PARCAT1, PARCAT2, PARAMCD, PARAM, AVAL, AVALC, SRCSEQ, SRCVAR"
adrxhist.sas7bdat,34,23,11,67.65,"ACAT1, ACMOCCUR, ACMTRT, ACMREAS, ADUR, ASEQ, INTOLFL, DEPENDFL, NRESPFL, BIOFLNUM, CMSEQ"
adsaf.sas7bdat,33,33,0,100,
adsl.sas7bdat,69,69,0,100,
advscdai.sas7bdat,50,50,0,100,
